Variable0	Variable	Type
V547	fBodyBodyGyroJerkMag-sma()	sma
V548	fBodyBodyGyroJerkMag-energy()	energy
V549	fBodyBodyGyroJerkMag-iqr()	iqr
V550	fBodyBodyGyroJerkMag-entropy()	entropy
V551	fBodyBodyGyroJerkMag-maxInds	maxInds
V552	fBodyBodyGyroJerkMag-meanFreq()	meanFreq
V553	fBodyBodyGyroJerkMag-skewness()	skewness
V554	fBodyBodyGyroJerkMag-kurtosis()	kurtosis
V555	angle(tBodyAccMean,gravity)	angle
V556	angle(tBodyAccJerkMean),gravityMean)	angle
V557	angle(tBodyGyroMean,gravityMean)	angle
V558	angle(tBodyGyroJerkMean,gravityMean)	angle
V559	angle(X,gravityMean)	angle
V560	angle(Y,gravityMean)	angle
V561	angle(Z,gravityMean)	angle
